ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/INode$setPermission,28315,0,161,9,12,1349271552,24433,140736256070976,140246638600520,1,29,3984478,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$updatePermissionStatus,28315,0,161,9,12,1349271552,24433,140736256070976,140246638600520,1,29,3984853,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$PermissionStatusFormat$combine,28327,0,161,9,12,1349271552,24433,140736256070976,140246638600520,1,29,3985228,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$PermissionStatusFormat$combine,28351,0,162,9,12,1349271552,24433,140736256070976,140246638600520,1,29,3985603,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$updatePermissionStatus,29510,0,163,10,12,1350987776,25555,140736256070976,140246638600520,1,29,3985979,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$setPermission,29510,0,163,10,12,1350987776,25555,140736256070976,140246638600520,1,29,3986355,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$setPermissionStatus,29510,0,163,10,12,1350987776,25555,140736256070976,140246638600520,1,29,3986731,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$setLocalName,29510,0,164,10,12,1350987776,25555,140736256070976,140246638600520,1,29,3987107,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$string2Bytes,29510,0,164,10,12,1350987776,25555,140736256070976,140246638600520,1,29,3987483,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$string2Bytes,29510,0,164,10,12,1350987776,25555,140736256070976,140246638600520,1,29,3987859,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$setLocalName,29510,0,164,10,12,1350987776,25555,140736256070976,140246638600520,1,29,3988235,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSDirectory$initialize,29510,0,164,10,12,1350987776,25555,140736256070976,140246638600520,1,29,3988611,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSDirectory$initialize,29935,0,166,10,12,1350414336,25615,140736256070976,140246638600520,1,30,4100472,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$format,29936,0,166,10,12,1350414336,25615,140736256070976,140246638600520,1,30,4100848,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$newNamespaceID,29940,0,167,10,12,1350414336,25615,140736256070976,140246638600520,1,30,4101224,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,29944,0,167,10,12,1350414336,25615,140736256070976,140246638600520,1,30,4101600,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,29963,0,167,10,12,1350414336,25615,140736256070976,140246638600520,1,30,4101976,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSImage$newNamespaceID,29974,0,167,10,12,1350414336,25681,140736256070976,140246638600520,1,30,4102352,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,30233,0,170,10,12,1350414336,25879,140736256070976,140246638600520,1,30,4102728,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,30242,0,170,10,12,1350414336,25945,140736256070976,140246638600520,1,30,4103104,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$getNumStorageDirs,30248,0,170,10,12,1350414336,25945,140736256070976,140246638600520,1,30,4103480,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$getNumStorageDirs,30261,0,170,10,12,1350414336,25945,140736256070976,140246638600520,1,30,4103856,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$getStorageDir,30285,0,170,10,12,1350414336,25945,140736256070976,140246638600520,1,30,4104232,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$getStorageDir,30291,0,170,10,12,1350414336,25945,140736256070976,140246638600520,1,30,4104608,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$format,30293,0,170,10,12,1350414336,25945,140736256070976,140246638600520,1,30,4104984,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$StorageDirectory$clearDirectory,30300,0,170,10,12,1350414336,25945,140736256070976,140246638600520,1,30,4105360,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$StorageDirectory$getCurrentDir,30310,0,170,10,12,1350414336,26011,140736256070976,140246638600520,1,30,4105736,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$StorageDirectory$getCurrentDir,30315,0,170,10,12,1350414336,26011,140736256070976,140246638600520,1,30,4106112,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$StorageDirectory$clearDirectory,30327,0,171,10,12,1350414336,26011,140736256070976,140246638600520,1,30,4106488,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$StorageDirectory$lock,30353,0,171,10,12,1350414336,26011,140736256070976,140246638600520,1,30,4106864,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$StorageDirectory$lock,30959,0,173,10,12,1351495680,26646,140736256070976,140246638600520,1,32,4163732,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$getImageFile,31524,0,174,10,12,1351495680,27174,140736256070976,140246638600520,1,32,4167336,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$StorageDirectory$getCurrentDir,31563,0,174,10,12,1351495680,27240,140736256070976,140246638600520,1,32,4167712,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$StorageDirectory$getCurrentDir,31563,0,174,10,12,1351495680,27240,140736256070976,140246638600520,1,32,4168088,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$NameNodeFile$getName,31572,0,174,10,12,1351495680,27240,140736256070976,140246638600520,1,32,4168464,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSImage$NameNodeFile$getName,31576,0,174,10,12,1351495680,27240,140736256070976,140246638600520,1,32,4168840,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSImage$getImageFile,31576,0,174,10,12,1351495680,27240,140736256070976,140246638600520,1,32,4169216,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$saveFSImage,31576,0,174,10,12,1351495680,27240,140736256070976,140246638600520,1,32,4169592,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$getFSNamesystem,31579,0,174,10,12,1351495680,27240,140736256070976,140246638600520,1,32,4169968,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$getFSNamesystem,31579,0,175,10,12,1351495680,27240,140736256070976,140246638600520,1,32,4170344,360,503808,45056,4096
