minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,27220.000000952699,-5.969315786558127e-05,155.00000009767609,7.9999899027639003,12.000005314802685,1349271552.0,23378.999998441745,140736256070976.0,140246638600520.0,1.0,29.000000290435878,3967465.0000000149,360.00000001001172,503807.99999990559,45055.999999993481,4095.999999919215
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,27222.00000095123,-5.9652781840169311e-05,155.00000009773248,7.9999899087661106,12.000005285949598,1349271552.0,23378.999998443483,140736256070976.0,140246638600520.0,1.0,29.000000290380768,3967840.0000000149,360.00000000931323,503807.99999990565,45055.999999993015,4095.9999999192733
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,27222.000000951171,-5.965232447335822e-05,155.00000009773976,7.9999899087142694,12.000005284752461,1349271552.0,23378.999998443513,140736256070976.0,140246638600520.0,1.0,29.00000029038236,3968215.0,360.0000000090804,503807.99999990565,45055.999999993481,4095.9999999192551
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,27224.000000949629,-5.961097151718775e-05,155.00000009779069,7.9999899146073403,12.000005253342145,1349271552.0,23378.999998445288,140736256070976.0,140246638600520.0,1.0,29.000000290330519,3969391.0000000298,360.00000000931323,503807.9999999057,45055.999999993946,4095.9999999193278
EXIT-org/apache/hadoop/dfs/SerialNumberManager$getUserSerialNumber,27227.000000947402,-5.9550636166250115e-05,155.00000009787254,7.9999899236358942,12.00000521066108,1349271552.0,23378.999998447856,140736256070976.0,140246638600520.0,1.0,29.000000290246533,3969766.0000000298,360.00000000931323,503807.99999990576,45055.999999994412,4095.9999999194224
ENTER-org/apache/hadoop/dfs/SerialNumberManager$getGroupSerialNumber,27232.000000943779,-5.9451665312515445e-05,156.00000009800351,7.999989938559338,12.000005140583795,1349271552.0,23378.999998452084,140736256070976.0,140246638600520.0,1.0,29.000000290110506,3970141.0,360.00000001001172,503807.99999990588,45055.999999994412,4095.9999999195752
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,27236.00000094084,-5.9371370634275777e-05,156.0000000980981,7.9999899506128713,12.000005084074679,1349271552.0,23378.999998455511,140736256070976.0,140246638600520.0,1.0,29.000000289998212,3970515.9999999851,360.00000000954606,503807.99999990599,45055.999999993946,4095.9999999196989
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,27239.000000938599,-5.9311035283338143e-05,156.00000009818541,7.9999899596427895,12.000005041393578,1349271552.0,23378.999998458086,140736256070976.0,140246638600520.0,1.0,29.000000289914226,3970890.9999999851,360.00000001117587,503807.99999990605,45055.999999993481,4095.9999999198153
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,27259.000000924003,-5.8911391354277143e-05,156.00000009869473,7.9999900201269156,12.000004763636717,1349271552.0,23378.999998475054,140736256070976.0,140246638600520.0,1.0,29.000000289345394,3971266.0000000596,360.00000001047738,503807.99999990652,45055.999999993946,4095.9999999204301
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,27273.000000913758,-5.8631503393691276e-05,156.00000009904943,7.9999900624488873,12.000004568847764,1349271552.0,23378.999998486936,140736256070976.0,140246638600520.0,1.0,29.000000288947746,3971641.0,360.00000000977889,503807.99999990687,45055.999999993481,4095.9999999208703
EXIT-org/apache/hadoop/dfs/SerialNumberManager$getGroupSerialNumber,27273.000000913729,-5.8631046028212452e-05,156.00000009906216,7.9999900623979556,12.000004567650599,1349271552.0,23378.999998486957,140736256070976.0,140246638600520.0,1.0,29.000000288949451,3972016.0,360.00000001024455,503807.99999990687,45055.999999993946,4095.999999920874
ENTER-org/apache/hadoop/dfs/SerialNumberManager$getUserSerialNumber,27282.000000907137,-5.8450954708799685e-05,156.0000000992859,7.999990089586845,12.000004442001597,1349271552.0,23378.999998494604,140736256070976.0,140246638600520.0,1.0,29.000000288694622,3972391.0000000149,360.00000001071021,503807.9999999071,45055.999999995343,4095.9999999211359
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,27292.000000955697,-5.9725714320890688e-05,156.00000009733776,7.9999899191175246,12.000005464281408,1349271552.0,23444.999998439307,140736256070976.0,140246638600520.0,1.0,29.000000289773709,3972765.9999999851,360.00000001047738,503807.99999990559,45055.999999993946,4095.9999999192623
